date,home_team,away_team,tournament,location,home_elo_rating,away_elo_rating,home_elo_rank,away_elo_rank
2026-06-28,Canada,South Africa,World Cup,the United States,1748,1575,32,68
2026-06-29,Brazil,Japan,World Cup,the United States,2009,1910,5,13
2026-06-29,Germany,Paraguay,World Cup,the United States,1916,1815,10,24
2026-06-29,Morocco,Netherlands,World Cup,Mexico,1877,1980,17,8
2026-06-30,France,Sweden,World Cup,the United States,2123,1742,3,36
2026-06-30,Ivory Coast,Norway,World Cup,the United States,1743,1918,35,9
2026-06-30,Mexico,Ecuador,World Cup,Mexico,1912,1902,12,15
2026-07-01,Belgium,Senegal,World Cup,the United States,1884,1842,16,21
2026-07-01,DR Congo,England,World Cup,the United States,1712,2038,43,4
2026-07-01,United States,Bosnia/Herzegovina,World Cup,the United States,1781,1622,27,58
2026-07-02,Croatia,Portugal,World Cup,Canada,1905,1990,14,7
2026-07-02,Algeria,Switzerland,World Cup,Canada,1785,1914,26,11
2026-07-02,Austria,Spain,World Cup,the United States,1836,2144,23,2
2026-07-03,Argentina,Cape Verde,World Cup,the United States,2148,1622,1,58
